"fips","state","census_2020_pop","estimates_base_2020","pop_estimate_2020","pop_estimate_2021","pop_estimate_2022","pop_estimate_2023"
"01","AL","5024279","5024294","5031864","5050380","5073903","5108468"
"02","AK","733391","733374","732964","734923","733276","733406"
"04","AZ","7151502","7157902","7186683","7272487","7365684","7431344"
"05","AR","3011524","3011490","3014348","3028443","3046404","3067732"
"06","CA","39538223","39538212","39503200","39145060","39040616","38965193"
"08","CO","5773714","5773707","5785219","5811596","5841039","5877610"
"09","CT","3605944","3605912","3577586","3603691","3608706","3617176"
"10","DE","989948","989946","991862","1004881","1019459","1031890"
"11","DC","689545","689548","670839","669037","670949","678972"
"12","FL","21538187","21538216","21591299","21830708","22245521","22610726"
"13","GA","10711908","10713771","10732390","10790385","10913150","11029227"
"15","HI","1455271","1455274","1451181","1446745","1439399","1435138"
"16","ID","1839106","1839117","1849339","1904537","1938996","1964726"
"17","IL","12812508","12813469","12790357","12690341","12582515","12549689"
"18","IN","6785528","6785442","6789098","6813798","6832274","6862199"
"19","IA","3190369","3190427","3190904","3197944","3199693","3207004"
"20","KS","2937880","2937835","2938124","2937946","2936716","2940546"
"21","KY","4505836","4506297","4508155","4507600","4511563","4526154"
"22","LA","4657757","4657785","4652022","4627047","4588023","4573749"
"23","ME","1362359","1363177","1364517","1378787","1389338","1395722"
"24","MD","6177224","6177253","6173689","6175045","6163981","6180253"
"25","MA","7029917","7032933","6997713","6991951","6982740","7001399"
"26","MI","10077331","10077674","10070627","10038117","10033281","10037261"
"27","MN","5706494","5706804","5710578","5717968","5714300","5737915"
"28","MS","2961279","2961306","2958409","2949582","2938928","2939690"
"29","MO","6154913","6154889","6154426","6170393","6177168","6196156"
"30","MT","1084225","1084244","1087211","1106366","1122878","1132812"
"31","NE","1961504","1961965","1963273","1964253","1968060","1978379"
"32","NV","3104614","3104617","3115840","3146632","3177421","3194176"
"33","NH","1377529","1377524","1378702","1387494","1399003","1402054"
"34","NJ","9288994","9289039","9272392","9269175","9260817","9290841"
"35","NM","2117522","2117525","2118488","2116950","2113476","2114371"
"36","NY","20201249","20202320","20104710","19854526","19673200","19571216"
"37","NC","10439388","10439459","10453812","10567100","10695965","10835491"
"38","ND","779094","779079","779563","777982","778912","783926"
"39","OH","11799448","11799331","11798292","11765227","11759697","11785935"
"40","OK","3959353","3959411","3965234","3991634","4019271","4053824"
"41","OR","4237256","4237279","4245044","4256465","4239379","4233358"
"42","PA","13002700","13002788","12995477","13013614","12972091","12961683"
"44","RI","1097379","1097371","1096444","1097092","1093842","1095962"
"45","SC","5118425","5118422","5132151","5193848","5282955","5373555"
"46","SD","886667","886668","887852","896299","909869","919318"
"47","TN","6910840","6910786","6926091","6963709","7048976","7126489"
"48","TX","29145505","29145459","29234361","29561286","30029848","30503301"
"49","UT","3271616","3271614","3283982","3339284","3381236","3417734"
"50","VT","643077","643077","642936","647093","647110","647464"
"51","VA","8631393","8631373","8637193","8657348","8679099","8715698"
"53","WA","7705281","7705267","7724566","7741433","7784477","7812880"
"54","WV","1793716","1793713","1791562","1785249","1774035","1770071"
"55","WI","5893718","5893713","5896700","5879978","5890543","5910955"
"56","WY","576851","576850","577664","579548","581629","584057"
"72","PR","3285874","3285874","3281557","3262693","3220113","3205691"
